architecture,uncertainty_level,selection_rule,threshold,coverage,risk_regret,conditional_ece
A8,all,confidence_and_non_abort,0.049999999999999996,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.09999999999999999,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.15,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.19999999999999998,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.24999999999999997,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.3,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.35,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.39999999999999997,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.44999999999999996,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.49999999999999994,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.5499999999999999,0.733,0.18382298275247902,0.36268361727147386
A8,all,confidence_and_non_abort,0.6,0.596,0.1657725298600416,0.33160414132890936
A8,all,confidence_and_non_abort,0.6499999999999999,0.416,0.14776043461079855,0.2900948585842921
A8,all,confidence_and_non_abort,0.7,0.246,0.14055012469633343,0.2561522016375794
A8,all,confidence_and_non_abort,0.7499999999999999,0.089,0.1286818803207853,0.22198873631022895
A8,all,confidence_and_non_abort,0.7999999999999999,0.017,0.10672008566696613,0.19209799578279824
A8,all,confidence_and_non_abort,0.85,0.0,,
A8,all,confidence_and_non_abort,0.8999999999999999,0.0,,
A8,all,confidence_and_non_abort,0.95,0.0,,
A9,all,non_abort_only,0.0,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.0,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.049999999999999996,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.09999999999999999,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.15,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.19999999999999998,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.24999999999999997,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.3,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.35,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.39999999999999997,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.44999999999999996,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.49999999999999994,0.723,0.17846106024348266,0.3566695754870223
A9,all,confidence_and_non_abort,0.5499999999999999,0.717,0.17769642093039792,0.3554304854520712
A9,all,confidence_and_non_abort,0.6,0.598,0.16248298413071313,0.32955272966978505
A9,all,confidence_and_non_abort,0.6499999999999999,0.4,0.14346299101326782,0.28471277956827323
A9,all,confidence_and_non_abort,0.7,0.235,0.14155485108430566,0.2544498644015299
A9,all,confidence_and_non_abort,0.7499999999999999,0.1,0.13716581375900488,0.22380205350871651
A9,all,confidence_and_non_abort,0.7999999999999999,0.013,0.10294452745339852,0.18512096038580036
A9,all,confidence_and_non_abort,0.85,0.0,,
A9,all,confidence_and_non_abort,0.8999999999999999,0.0,,
A9,all,confidence_and_non_abort,0.95,0.0,,
Debate,all,non_abort_only,0.0,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.0,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.049999999999999996,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.09999999999999999,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.15,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.19999999999999998,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.24999999999999997,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.3,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.35,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.39999999999999997,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.44999999999999996,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.49999999999999994,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.5499999999999999,0.72,0.17949938644626556,0.36324498115188436
Debate,all,confidence_and_non_abort,0.6,0.616,0.16501943281872858,0.34091673340890144
Debate,all,confidence_and_non_abort,0.6499999999999999,0.416,0.1347522560800873,0.28794450172424274
Debate,all,confidence_and_non_abort,0.7,0.249,0.12460623881877535,0.25333155246015027
Debate,all,confidence_and_non_abort,0.7499999999999999,0.102,0.11197968189403064,0.21978290867221492
Debate,all,confidence_and_non_abort,0.7999999999999999,0.021,0.07799679727500299,0.18690370694386826
Debate,all,confidence_and_non_abort,0.85,0.0,,
Debate,all,confidence_and_non_abort,0.8999999999999999,0.0,,
Debate,all,confidence_and_non_abort,0.95,0.0,,
Monolithic,all,non_abort_only,0.0,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.0,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.049999999999999996,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.09999999999999999,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.15,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.19999999999999998,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.24999999999999997,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.3,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.35,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.39999999999999997,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.44999999999999996,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.49999999999999994,0.724,0.19330439418609024,0.35365019002875003
Monolithic,all,confidence_and_non_abort,0.5499999999999999,0.714,0.19200009619507838,0.3511323485185851
Monolithic,all,confidence_and_non_abort,0.6,0.59,0.17706108749119867,0.3216348097711285
Monolithic,all,confidence_and_non_abort,0.6499999999999999,0.388,0.16933969892360953,0.2776246221041473
Monolithic,all,confidence_and_non_abort,0.7,0.243,0.1787480127991752,0.24782241349341222
Monolithic,all,confidence_and_non_abort,0.7499999999999999,0.123,0.18776957148688792,0.22009194164572657
Monolithic,all,confidence_and_non_abort,0.7999999999999999,0.023,0.20897464410298808,0.1883415377860099
Monolithic,all,confidence_and_non_abort,0.85,0.0,,
Monolithic,all,confidence_and_non_abort,0.8999999999999999,0.0,,
Monolithic,all,confidence_and_non_abort,0.95,0.0,,
Multi-Agent (A0 full),all,non_abort_only,0.0,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.0,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.049999999999999996,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.09999999999999999,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.15,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.19999999999999998,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.24999999999999997,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.3,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.35,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.39999999999999997,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.44999999999999996,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.49999999999999994,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.5499999999999999,0.751,0.18924475740104538,0.38410498547314176
Multi-Agent (A0 full),all,confidence_and_non_abort,0.6,0.654,0.1773947065029963,0.36797022892110104
Multi-Agent (A0 full),all,confidence_and_non_abort,0.6499999999999999,0.451,0.14208918712169935,0.30957397159694183
Multi-Agent (A0 full),all,confidence_and_non_abort,0.7,0.259,0.11230353551077202,0.2503059804337405
